43109003			,27-APR-10 09.05.25.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.05.25.895069 AM						     ,CR_MassFilter											  ,MERCEHTSJD,	       2,     24522,02-DEC-10	      , ,									    ,										,
43109061			,27-APR-10 09.05.29.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.05.29.571769 AM						     ,CR_MassFilter											  ,BAXGEBGWTK,	       5,     47490,10-NOV-10	      , ,									    ,										,
43109284			,27-APR-10 09.06.09.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.06.09.268841 AM						     ,CR_MassFilter											  ,BAXGEVIAAW,	       2,    223934,23-JUL-14	      , ,									    ,										,
43109929			,27-APR-10 09.07.44.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.07.44.967673 AM						     ,CR_MassFilter											  ,SCZAECHNXM,	       1,      2833,29-JAN-19	      , ,									    ,										,
DA698E4D7A95366CE04400212867A1B9,29-APR-13 08.31.59.000000 PM						    ,CR_MassFilter											 ,29-APR-13 08.31.59.089485 PM						     ,CR_MassFilter											  ,APPLETSPXM,	       2,      2030,29-JAN-19	      , ,									    ,										,
43110738			,27-APR-10 09.10.20.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.10.20.366524 AM						     ,CR_MassFilter											  ,ALPSETGBOD,	       1,      3129,27-MAR-12	      , ,									    ,										,
43111647			,27-APR-10 09.13.08.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.13.08.699095 AM						     ,CR_MassFilter											  ,ARVAECTSST,	       1,	891,05-APR-11	      , ,									    ,										,
43112105			,27-APR-10 09.13.21.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.13.21.446931 AM						     ,CR_MassFilter											  ,SCBEESCIOF,	       2,     81380,14-APR-14	      , ,									    ,										,
DB80418FF03C16C8E04400212867A1B9,29-APR-13 09.07.09.000000 PM						    ,CR_MassFilter											 ,29-APR-13 09.07.09.806100 PM						     ,CR_MassFilter											  ,APPLAACK16,	       1,      1005,08-SEP-13	      , ,									    ,										,
43112890			,27-APR-10 09.14.44.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.14.44.511739 AM						     ,CR_MassFilter											  ,SIEMEHACIM,	       1,      8804,08-DEC-10	      , ,									    ,										,
43113891			,27-APR-10 09.17.40.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.17.40.624288 AM						     ,CR_MassFilter											  ,SCSEEDOWST,	       1,	486,28-JAN-19	      , ,									    ,										,
43114147			,27-APR-10 09.18.02.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.18.02.354958 AM						     ,CR_MassFilter											  ,MATTEHXXED,	       4,      8660,30-SEP-13	      , ,									    ,										,
43114459			,27-APR-10 09.19.08.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.19.08.450964 AM						     ,CR_MassFilter											  ,SCZAEPROTR,	       1,	348,29-JAN-19	      , ,									    ,										,
43114996			,27-APR-10 09.21.10.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.21.10.294956 AM						     ,CR_MassFilter											  ,APPLEMDTAN,	       2,      2809,09-SEP-13	      , ,									    ,										,
43115322			,27-APR-10 09.22.56.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.22.56.181585 AM						     ,CR_MassFilter											  ,SCBEESCIED,	       1,      2785,07-JUN-18	      , ,									    ,										,
43116468			,27-APR-10 09.24.22.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.24.22.429761 AM						     ,CR_MassFilter											  ,SAMSEPOLIM,	       4,     10656,29-JAN-19	      , ,									    ,										,
43117161			,27-APR-10 09.26.40.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.26.40.416272 AM						     ,CR_MassFilter											  ,BAXGEDOCPN,	       1,      4628,15-NOV-10	      , ,									    ,										,
43117172			,27-APR-10 09.26.40.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.26.40.826327 AM						     ,CR_MassFilter											  ,SAG_ESFRAW,	       2,     10238,15-NOV-10	      , ,									    ,										,
43117529			,27-APR-10 09.27.40.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.27.40.886280 AM						     ,CR_MassFilter											  ,BAXGEDOCTK,	       1,      3063,15-NOV-10	      , ,									    ,										,
30946655			,16-MAR-10 12.15.22.000000 PM						    ,CR_MassFilter											 ,16-MAR-10 12.15.22.184544 PM						     ,CR_MassFilter											  ,WYTHE2POSN,	       1,      1174,28-MAR-12	      , ,									    ,										,
33998675			,26-MAR-10 07.59.44.000000 AM						    ,CR_MassFilter											 ,26-MAR-10 07.59.44.726634 AM						     ,CR_MassFilter											  ,DEROEALLBE,	       1,      3221,15-MAR-11	      , ,									    ,										,
34008320			,26-MAR-10 08.21.37.000000 AM						    ,CR_MassFilter											 ,26-MAR-10 08.21.37.124536 AM						     ,CR_MassFilter											  ,BOSCEALLBE,	       2,     51778,08-FEB-11	      , ,									    ,										,
35463196			,31-MAR-10 10.40.09.000000 AM						    ,CR_MassFilter											 ,31-MAR-10 10.40.09.406899 AM						     ,CR_MassFilter											  ,SCBEEETNED,	       1,      4131,01-MAY-14	      , ,									    ,										,
35711179			,31-MAR-10 11.15.30.000000 PM						    ,CR_MassFilter											 ,31-MAR-10 11.15.30.559554 PM						     ,CR_MassFilter											  ,SCBEEECNOF,	       1,     11990,22-AUG-12	      , ,									    ,										,
37176002			,07-APR-10 12.17.00.000000 PM						    ,CR_MassFilter											 ,07-APR-10 12.17.00.637938 PM						     ,CR_MassFilter											  ,SCNLE2AGOF,	       2,	184,02-NOV-17	      , ,									    ,										,
42723370			,26-APR-10 10.33.09.000000 AM						    ,CR_MassFilter											 ,26-APR-10 10.33.09.880888 AM						     ,CR_MassFilter											  ,SCBEEUNBED,	       2,      1296,05-NOV-14	      , ,									    ,										,
43105578			,27-APR-10 08.59.43.000000 AM						    ,CR_MassFilter											 ,27-APR-10 08.59.43.689048 AM						     ,CR_MassFilter											  ,SAG_EXBPAW,	     527,   7842684,29-JAN-19	      , ,									    ,										,
